dataset	approach	eval_sim	solver_time_sec	output_lines	sigma_empty	sigma_R	rho_R
dataset1	original	50	0.3272	50	36.28	6.74	0.814223
dataset1	original	500	0.3272	50	42.652	10.794	0.746929
dataset1	advanced	50	1.6032	50	36.28	6.42	0.823043
dataset1	advanced	500	1.6032	50	42.652	9.388	0.779893
dataset1	ris	50	0.3696	50	36.28	5.94	0.836273
dataset1	ris	500	0.3696	50	42.652	9.814	0.769905
dataset1	hybrid_full	50	0.7038	50	36.28	6.6	0.818082
dataset1	hybrid_full	500	0.7038	50	42.652	9.854	0.768967
dataset1	hybrid_nofine	50	0.0826	50	36.28	8.4	0.768467
dataset1	hybrid_nofine	500	0.0826	50	42.652	10.95	0.743271
dataset1	hybrid_noadapt	50	0.5114	50	36.28	6.0	0.83462
dataset1	hybrid_noadapt	500	0.5114	50	42.652	8.708	0.795836
dataset1	hybrid_nofine_noadapt	50	0.0901	50	36.28	8.4	0.768467
dataset1	hybrid_nofine_noadapt	500	0.0901	50	42.652	10.95	0.743271
dataset1	hybrid_nofilter	50	0.6822	50	36.28	6.6	0.818082
dataset1	hybrid_nofilter	500	0.6822	50	42.652	9.854	0.768967
dataset2	original	50	0.1363	20	124.42	15.22	0.877672
dataset2	original	500	0.1363	20	127.696	15.252	0.88056
dataset2	advanced	50	0.363	20	124.42	14.84	0.880727
dataset2	advanced	500	0.363	20	127.696	14.792	0.884162
dataset2	ris	50	0.0225	20	124.42	15.38	0.876386
dataset2	ris	500	0.0225	20	127.696	15.312	0.88009
dataset2	hybrid_full	50	0.2502	20	124.42	14.84	0.880727
dataset2	hybrid_full	500	0.2502	20	127.696	14.792	0.884162
dataset2	hybrid_nofine	50	0.0251	20	124.42	15.22	0.877672
dataset2	hybrid_nofine	500	0.0251	20	127.696	15.252	0.88056
dataset2	hybrid_noadapt	50	0.1995	20	124.42	14.84	0.880727
dataset2	hybrid_noadapt	500	0.1995	20	127.696	14.792	0.884162
dataset2	hybrid_nofine_noadapt	50	0.0363	20	124.42	15.22	0.877672
dataset2	hybrid_nofine_noadapt	500	0.0363	20	127.696	15.252	0.88056
dataset2	hybrid_nofilter	50	0.3015	20	124.42	14.84	0.880727
dataset2	hybrid_nofilter	500	0.3015	20	127.696	14.792	0.884162
